#     surf                  Re[Psi]                  Im[Psi]               Population
       333 -2.9969352848643865E-014 -4.1183616576722463E-014  2.5942523845050074E-027
       334  4.9492259452727541E-014  7.7591170780150771E-018  2.4494838059399962E-027
       335 -9.6874728762515490E-015  3.7713115531265923E-014  1.5161262138027205E-027
       336 -6.0352165280354133E-014 -2.7206682064488186E-013  7.7662738749841499E-026
       337  1.3004542125142872E-012  4.6528860812891525E-013  1.9076746477006982E-024
       338  3.1414029074528413E-013  9.0212072151054072E-014  1.0682234023131862E-025
       339 -3.0023945022343260E-013  1.7109708501316039E-014  9.0436469595469075E-026
       340 -4.8256935390509752E-013  8.5079253202466565E-013  9.5672111387732505E-025
       341  7.1241735451259731E-014 -7.6530660660424162E-014  1.0932326891228271E-026
       342 -6.6517158870222300E-013  1.8093683735771293E-014  4.4278062380776939E-025
       343 -2.2121892648599251E-013 -6.0794326294356558E-014  5.2633763545199652E-026
       344 -1.3052299816121501E-013  6.4201073973132367E-013  4.2921404297935394E-025
       345  2.5065338240666268E-013 -1.3580735475326779E-013  8.1270755716980591E-026
       346 -3.0682805608333301E-014 -6.1496292603969291E-014  4.7232285640317775E-027
