#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  8.44295551301465941E-01  9.31506968105168942E-05  3.73235141314870477E-04
  8.47524214977570911E-01  9.19517635924803849E-05  3.76549435016958114E-04
  8.50752878653675992E-01  9.07241274727238852E-05  3.79871714218334101E-04
  8.53981542329780963E-01  8.94676223432692877E-05  3.83201782445462323E-04
  8.57210206005886044E-01  8.81820833175282005E-05  3.86539441455330496E-04
  8.60438869681991014E-01  8.68673467455800233E-05  3.89884491242681634E-04
  8.63667533358096096E-01  8.55232502294062341E-05  3.93236730047365321E-04
  8.66896197034201066E-01  8.41496326380831387E-05  3.96595954361804394E-04
  8.70124860710306258E-01  8.27463341229312373E-05  3.99961958938585115E-04
  8.73353524386411229E-01  8.13131961326200316E-05  4.03334536798157720E-04
  8.76582188062516310E-01  7.98500614282272810E-05  4.06713479236662893E-04
  8.79810851738621280E-01  7.83567740982532915E-05  4.10098575833867151E-04
  8.83039515414726250E-01  7.68331795735873515E-05  4.13489614461222258E-04
  8.86268179090831332E-01  7.52791246424266243E-05  4.16886381290037026E-04
  8.89496842766936302E-01  7.36944574651472820E-05  4.20288660799766629E-04
  8.92725506443041383E-01  7.20790275891248583E-05  4.23696235786419405E-04
  8.95954170119146354E-01  7.04326859635057980E-05  4.27108887371077488E-04
  8.99182833795251546E-01  6.87552849539262335E-05  4.30526395008535082E-04
  9.02411497471356405E-01  6.70466783571808473E-05  4.33948536496050195E-04
  9.05640161147461598E-01  6.53067214158366022E-05  4.37375087982212491E-04
  9.08868824823566568E-01  6.35352708327950139E-05  4.40805823975924552E-04
  9.12097488499671649E-01  6.17321847857984091E-05  4.44240517355500822E-04
  9.15326152175776619E-01  5.98973229418817859E-05  4.47678939377874605E-04
  9.18554815851881701E-01  5.80305464717672839E-05  4.51120859687925073E-04
  9.21783479527986671E-01  5.61317180642037278E-05  4.54566046327913129E-04
  9.25012143204091641E-01  5.42007019402462604E-05  4.58014265747032801E-04
  9.28240806880196723E-01  5.22373638674781350E-05  4.61465282811074080E-04
  9.31469470556301693E-01  5.02415711741739391E-05  4.64918860812198144E-04
  9.34698134232406885E-01  4.82131927634006944E-05  4.68374761478824791E-04
  9.37926797908511745E-01  4.61520991270592370E-05  4.71832744985631119E-04
  9.41155461584616937E-01  4.40581623598631679E-05  4.75292569963662844E-04
  9.44384125260721907E-01  4.19312561732553538E-05  4.78753993510553288E-04
  9.47612788936826989E-01  3.97712559092595655E-05  4.82216771200855989E-04
  9.50841452612931959E-01  3.75780385542701060E-05  4.85680657096485241E-04
  9.54070116289037040E-01  3.53514827527736769E-05  4.89145403757268362E-04
  9.57298779965142010E-01  3.30914688210073643E-05  4.92610762251604489E-04
  9.60527443641246981E-01  3.07978787605476021E-05  4.96076482167234116E-04
  9.63756107317352062E-01  2.84705962718338255E-05  4.99542311622116738E-04
  9.66984770993457032E-01  2.61095067676225524E-05  5.03007997275416304E-04
  9.70213434669562225E-01  2.37144973863711209E-05  5.06473284338593917E-04
  9.73442098345667195E-01  2.12854570055543106E-05  5.09937916586607957E-04
  9.76670762021772276E-01  1.88222762549065953E-05  5.13401636369221668E-04
  9.79899425697877247E-01  1.63248475295962086E-05  5.16864184622414704E-04
  9.83128089373982328E-01  1.37930650033239633E-05  5.20325300879904517E-04
  9.86356753050087298E-01  1.12268246413511178E-05  5.23784723284767377E-04
  9.89585416726192379E-01  8.62602421345101766E-06  5.27242188601171171E-04
  9.92814080402297350E-01  5.99056330678878880E-06  5.30697432226206003E-04
  9.96042744078402320E-01  3.32034333872285122E-06  5.34150188201823538E-04
  9.99271407754507512E-01  6.15267569531230741E-07  5.37600189226877931E-04
  1.00250007143061248E+00 -2.12475888493810117E-06  5.41047166669268460E-04
  1.00572873510671745E+00 -4.89982904069698569E-06  5.44490850578189492E-04
  1.00895739878282242E+00 -7.71003403312363884E-06  5.47930969696474885E-04
  1.01218606245892762E+00 -1.05554631045494440E-05  5.51367251473051240E-04
  1.01541472613503259E+00 -1.34362035919249670E-05  5.54799422075488301E-04
  1.01864338981113778E+00 -1.63523409145688784E-05  5.58227206402651379E-04
  1.02187205348724275E+00 -1.93039585619953409E-05  5.61650328097451569E-04
  1.02510071716334772E+00 -2.22911380818270839E-05  5.65068509559699290E-04
  1.02832938083945269E+00 -2.53139590677887749E-05  5.68481471959052481E-04
  1.03155804451555788E+00 -2.83724991477870937E-05  5.71888935248067139E-04
  1.03478670819166285E+00 -3.14668339720721392E-05  5.75290618175343057E-04
  1.03801537186776782E+00 -3.45970372014870701E-05  5.78686238298767894E-04
  1.04124403554387279E+00 -3.77631804958028649E-05  5.82075511998859365E-04
  1.04447269921997776E+00 -4.09653335021383116E-05  5.85458154492200355E-04
  1.04770136289608295E+00 -4.42035638434704116E-05  5.88833879844973766E-04
  1.05093002657218793E+00 -4.74779371072306673E-05  5.92202400986588883E-04
  1.05415869024829312E+00 -5.07885168339917303E-05  5.95563429723406507E-04
  1.05738735392439809E+00 -5.41353645062423648E-05  5.98916676752553529E-04
  1.06061601760050306E+00 -5.75185395372552192E-05  6.02261851675834226E-04
  1.06384468127660803E+00 -6.09380992600422005E-05  6.05598663013732618E-04
  1.06707334495271322E+00 -6.43940989164054286E-05  6.08926818219509701E-04
  1.07030200862881819E+00 -6.78865916460772437E-05  6.12246023693387956E-04
  1.07353067230492316E+00 -7.14156284759567893E-05  6.15555984796831591E-04
  1.07675933598102813E+00 -7.49812583094374308E-05  6.18856405866915040E-04
  1.07998799965713310E+00 -7.85835279158306416E-05  6.22146990230780690E-04
  1.08321666333323829E+00 -8.22224819198846542E-05  6.25427440220187249E-04
  1.08644532700934326E+00 -8.58981627913986575E-05  6.28697457186147882E-04
  1.08967399068544846E+00 -8.96106108349351683E-05  6.31956741513652379E-04
  1.09290265436155343E+00 -9.33598641796267690E-05  6.35204992636480390E-04
  1.09613131803765840E+00 -9.71459587690846248E-05  6.38441909052102374E-04
  1.09935998171376337E+00 -1.00968928351401598E-04  6.41667188336660674E-04
  1.10258864538986856E+00 -1.04828804469259159E-04  6.44880527160044260E-04
