#             freq. [MHz]    Abs(ampl) [arb.units]
 -1.51539823008849547E+05  1.03661565367422675E-23
 -1.51530973451327416E+05  7.91001056686429065E-24
 -1.51522123893805314E+05  4.74959642196047332E-24
 -1.51513274336283182E+05  1.83662002452488267E-24
 -1.51504424778761051E+05  4.82612033839420264E-26
 -1.51495575221238949E+05  7.68824729315063089E-26
 -1.51486725663716818E+05  1.49892989876568803E-24
 -1.51477876106194686E+05  4.30134177351486652E-24
 -1.51469026548672555E+05  7.48655338035294351E-24
 -1.51460176991150453E+05  1.00955056202116012E-23
 -1.51451327433628321E+05  1.13425585075867158E-23
 -1.51442477876106190E+05  1.08522089277991116E-23
 -1.51433628318584058E+05  8.77200238306960080E-24
 -1.51424778761061956E+05  5.72828846940946558E-24
 -1.51415929203539825E+05  2.63762617997236734E-24
 -1.51407079646017693E+05  4.30583322634443869E-25
 -1.51398230088495562E+05  2.28153551069085594E-25
 -1.51389380530973460E+05  8.59865372967362250E-25
 -1.51380530973451328E+05  3.36718636275138502E-24
 -1.51371681415929197E+05  6.53885886081952119E-24
 -1.51362831858407066E+05  9.41986534682907483E-24
 -1.51353982300884963E+05  1.11427491915392104E-23
 -1.51345132743362832E+05  1.11886643340125702E-23
 -1.51336283185840701E+05  9.54372498408822066E-24
 -1.51327433628318569E+05  6.70318704536143587E-24
 -1.51318584070796467E+05  3.52235233144417850E-24
 -1.51309734513274336E+05  9.59055755936587685E-25
 -1.51300884955752204E+05  2.14800417268466350E-25
 -1.51292035398230073E+05  3.54324876675502170E-25
 -1.51283185840707971E+05  2.49521346036975679E-24
 -1.51274336283185839E+05  5.56325654115114892E-24
 -1.51265486725663708E+05  8.63472638089385847E-24
 -1.51256637168141577E+05  1.07847533352176831E-23
 -1.51247787610619474E+05  1.13659143184155312E-23
 -1.51238938053097343E+05  1.02031593435458146E-23
 -1.51230088495575212E+05  7.64654083056408053E-24
 -1.51221238938053080E+05  4.46584428850291635E-24
 -1.51212389380530978E+05  1.61885408058988285E-24
 -1.51203539823008847E+05  3.70845589215202050E-26
 -1.51194690265486715E+05  3.30376547131650025E-27
 -1.51185840707964613E+05  1.71020007049351031E-24
 -1.51176991150442482E+05  4.58747014738059345E-24
 -1.51168141592920350E+05  7.76229936969791566E-24
 -1.51159292035398219E+05  1.02787011824030700E-23
 -1.51150442477876117E+05  1.13789039463254781E-23
 -1.51141592920353985E+05  1.07315732649719789E-23
 -1.51132743362831854E+05  8.53160943988236731E-24
 -1.51123893805309723E+05  5.44138569770356574E-24
 -1.51115044247787620E+05  2.39134461091538356E-24
 -1.51106194690265489E+05  3.00053559891224493E-25
 -1.51097345132743358E+05  2.02819772530549195E-25
 -1.51088495575221226E+05  1.03439755275367621E-24
 -1.51079646017699124E+05  3.63918857290652263E-24
 -1.51070796460176993E+05  6.82732443795630251E-24
 -1.51061946902654861E+05  9.63887359878678244E-24
 -1.51053097345132730E+05  1.12271914944500254E-23
 -1.51044247787610628E+05  1.11140239703762400E-23
 -1.51035398230088496E+05  9.33334970532687628E-24
 -1.51026548672566365E+05  6.42129530061559353E-24
 -1.51017699115044234E+05  3.25469438580566647E-24
 -1.51008849557522131E+05  7.87113276432668704E-25
 -1.51000000000000000E+05  2.38358941261166667E-25
 -1.50991150442477869E+05  4.87159305418611731E-25
 -1.50982300884955737E+05  2.74530030488361423E-24
 -1.50973451327433635E+05  5.85628969288312333E-24
 -1.50964601769911504E+05  8.88337570568560002E-24
 -1.50955752212389372E+05  1.09150458998464275E-23
 -1.50946902654867241E+05  1.13395206774546238E-23
 -1.50938053097345139E+05  1.00289501422714425E-23
 -1.50929203539823007E+05  7.37786125395622556E-24
 -1.50920353982300876E+05  4.18448426848509022E-24
 -1.50911504424778745E+05  1.41050853270575352E-24
 -1.50902654867256642E+05  1.08863269443318370E-25
 -1.50893805309734511E+05  8.41041421820882983E-26
 -1.50884955752212380E+05  1.93133850843065420E-24
 -1.50876106194690277E+05  4.87678395087776700E-24
 -1.50867256637168146E+05  8.03359477548198772E-24
 -1.50858407079646015E+05  1.04512106555139611E-23
 -1.50849557522123883E+05  1.14016157066570695E-23
 -1.50840707964601781E+05  1.05986149135243622E-23
 -1.50831858407079650E+05  8.28391121808345200E-24
 -1.50823008849557518E+05  5.15442503935048378E-24
 -1.50814159292035387E+05  2.15254352986844826E-24
 -1.50805309734513285E+05  1.82169886790460994E-25
 -1.50796460176991153E+05  1.63234743893722622E-25
 -1.50787610619469022E+05  1.22041483830157771E-24
 -1.50778761061946891E+05  3.91664561759634983E-24
 -1.50769911504424788E+05  7.11358905989134542E-24
 -1.50761061946902657E+05  9.84878915852191043E-24
 -1.50752212389380526E+05  1.12984750020330477E-23
 -1.50743362831858394E+05  1.10261783844719644E-23
 -1.50734513274336292E+05  9.11374749846051200E-24
 -1.50725663716814161E+05  6.13703643119492225E-24
 -1.50716814159292029E+05  2.99234876206387390E-24
 -1.50707964601769898E+05  6.26625593600690676E-25
 -1.50699115044247796E+05  2.47696809835708561E-25
 -1.50690265486725664E+05  6.32735639837950711E-25
 -1.50681415929203533E+05  3.00307068869353546E-24
 -1.50672566371681402E+05  6.14953311536433223E-24
 -1.50663716814159299E+05  9.12478868308157829E-24
 -1.50654867256637168E+05  1.10329681461124179E-23
 -1.50646017699115037E+05  1.12994521341389548E-23
 -1.50637168141592905E+05  9.84390117735664791E-24
 -1.50628318584070803E+05  7.10449062348741816E-24
 -1.50619469026548672E+05  3.90616912106450915E-24
 -1.50610619469026540E+05  1.21196124770803605E-24
 -1.50601769911504409E+05  1.66752941999141609E-25
 -1.50592920353982307E+05  1.85179630856879365E-25
 -1.50584070796460175E+05  2.16207367573172618E-24
 -1.50575221238938044E+05  5.16868799466367784E-24
 -1.50566371681415912E+05  8.29977637141736784E-24
 -1.50557522123893810E+05  1.06125538119836880E-23
 -1.50548672566371679E+05  1.14105848408872061E-23
 -1.50539823008849547E+05  1.04534919277712299E-23
 -1.50530973451327416E+05  8.02934612662760584E-24
 -1.50522123893805314E+05  4.86816102981155586E-24
 -1.50513274336283182E+05  1.92174627214941529E-24
 -1.50504424778761051E+05  7.73175506461237119E-26
 -1.50495575221238949E+05  1.09450530515101133E-25
 -1.50486725663716818E+05  1.41758280717470724E-24
 -1.50477876106194686E+05  4.19895829512126937E-24
 -1.50469026548672555E+05  7.39710142154129957E-24
 -1.50460176991150453E+05  1.00490667099160817E-23
 -1.50451327433628321E+05  1.13563738040494480E-23
 -1.50442477876106190E+05  1.09252204025900149E-23
 -1.50433628318584058E+05  8.88545050760276206E-24
 -1.50424778761061956E+05  5.85104621663558151E-24
 -1.50415929203539825E+05  2.73593792740657079E-24
 -1.50407079646017693E+05  4.78001831348571877E-25
 -1.50398230088495562E+05  2.42783661756945251E-25
 -1.50389380530973460E+05  7.90880109857358486E-25
 -1.50380530973451328E+05  3.26781737498434289E-24
 -1.50371681415929197E+05  6.44229596485112485E-24
 -1.50362831858407066E+05  9.35849689434716623E-24
 -1.50353982300884963E+05  1.11382834796062201E-23
 -1.50345132743362832E+05  1.12457225886758881E-23
 -1.50336283185840701E+05  9.64837510884291093E-24
 -1.50327433628318569E+05  6.82716941335478898E-24
 -1.50318584070796467E+05  3.63150215876966052E-24
 -1.50309734513274336E+05  1.02378924198924837E-24
 -1.50300884955752204E+05  2.10752482205679109E-25
 -1.50292035398230073E+05  2.99807512360182796E-25
 -1.50283185840707971E+05  2.40178615425062535E-24
 -1.50274336283185839E+05  5.46245250181135859E-24
 -1.50265486725663708E+05  8.56023987697518490E-24
 -1.50256637168141577E+05  1.07624520567654773E-23
 -1.50247787610619474E+05  1.14057746950668313E-23
 -1.50238938053097343E+05  1.02964727884055478E-23
 -1.50230088495575212E+05  7.76859391361727971E-24
 -1.50221238938053080E+05  4.58323846472323197E-24
 -1.50212389380530978E+05  1.69949464686146603E-24
 -1.50203539823008847E+05  1.41868633394731290E-26
 -1.50194690265486715E+05  4.15746414196822280E-26
 -1.50185840707964613E+05  1.62566300312453904E-24
 -1.50176991150442482E+05  4.48548503199525495E-24
 -1.50168141592920350E+05  7.67698250637502481E-24
 -1.50159292035398219E+05  1.02392749414674279E-23
 -1.50150442477876117E+05  1.14007197003184209E-23
